OCCU_DESC,WK_TYPE,CJOB1_COUNT,CJOB_NAME1,CJOB2_COUNT,CJOB_NAME2,JOB_PERSON,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,NT_L,NT_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE,district,zipcode
旅遊業務【55職場支持輔導】,全職,16,旅遊／餐飲／休閒,160101,旅遊經理人員,2,20261003,"#04★◎ 
規劃旅遊相關事務",新北市板橋區,無,日班,月薪,32000,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2675135&HIRE_ID=14565763,嚕啦啦旅行社有限公司台北分公司,20260819,板橋區,220
社區保全員/管理員,全職,18,保全／軍警消,180102,大樓管理員,3,20261004,受僱於公寓或大廈所有人或經理機構負責公寓或大廈之管理工作。,新北市板橋區,無,夜班,月薪,34000,35000,國小,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=23470&HIRE_ID=14569905,宏偉保全股份有限公司,20260804,板橋區,220
新板愛活樂園社區長照機構 (照顧服務員就業獎勵)-日照,全職,17,醫療／美容／保健,170113,照顧服務員,3,20261021,"◎#15 
機構全銜: 【社團法人愛福家協會附設新北市私立新板愛活樂園社區長照機構】
1.服務對象:失能/失智長者或身障者 
2.服務內容生活/身體照顧、生活自立訓練、健康促進&文康休閒活動設計及帶領、備餐服務、個案紀錄管理、行政事項等 
3.日班:配合服務對象/離中心時間，排班時段0800-1700、0830-1730   ",新北市板橋區,無,日班,月薪,29600,30000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2721&HIRE_ID=14617177,社團法人愛福家協會,20260821,板橋區,220
家庭幫傭,全職,19,清潔／家事／托育(保母),190201,家事服務員/家庭清潔人員,1,20260901,在家庭，從事房舍清理、食物烹調、家庭成員起居照料或其他與家事服務有關工作,新北市板橋區,無,日班,月薪,34500,34500,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2700865&HIRE_ID=14617613,王先生,20260824,板橋區,220
家庭照顧服務員,全職,17,醫療／美容／保健,170113,照顧服務員,1,20260827,在社會福利機構、醫療機構或家庭，負責照顧病患之專業照護的工作。,新北市板橋區,無,,月薪,35000,35000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2693289&HIRE_ID=14613967,蔡先生,20260820,板橋區,220
居家照顧服務員(居服員),全職,17,醫療／美容／保健,170113,照顧服務員,5,20261019,"陪伴65歲以上或身障者，進家協助長者完成洗澡、家務等服務，或陪伴長者前往就醫
服務區域 : 板橋區、中和區、三重區、新莊區、樹林區、土城區
",新北市板橋區,無,日班,時薪,240,280,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2461289&HIRE_ID=14608791,齡活股份有限公司附設新北市私立齡活居家長照機構,20260819,板橋區,220
【杏子豬排】板橋環球店-內外場兼職,兼職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,3,20261012,"↗外場服務夥伴↙
1. 餐桌佈置及整潔服務
2. 顧客接待及座位安排
3. 回覆顧客點餐需求與提供建議
4. 提供顧客桌邊服務
5. 內場廚房支援備料
6. 整潔門市環境與餐具保養

↗內場服務夥伴↙
1.負責洗、剝、削、切各種食材，以完成烹飪的前置工作
2.協助廚師測量食材的容量與重量
3.分切流程作業
4.食材分裝分包",新北市板橋區,無,部份工時：時分至時分,時薪,200,247,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2311647&HIRE_ID=14592919,王座國際餐飲股份有限公司,20260812,板橋區,220
時薪廚工★★★,全職,16,旅遊／餐飲／休閒,160206,廚師助理,2,20261007,"◎#13
廚師助理、打菜、送餐、清洗餐具",新北市板橋區,無,日班,時薪,196,196,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=67745&HIRE_ID=14583813,新北市板橋區中山國民小學,20260807,板橋區,220
徵板橋、新莊日/夜班機動保全,全職,18,保全／軍警消,180106,保全技術人員,1,20261231,從事機動性的保全服務，負責現場測量、調度、安裝、監控及維修保全警報系統等工作。,新北市板橋區,無,日班、夜班,月薪,45000,47000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2238195&HIRE_ID=14599977,維德保全股份有限公司,20260818,板橋區,220
櫃檯禮賓接待,全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,3,20361231,"1.處理房間安排事宜，如：訂房、排房、進房、退房等
2.處理帳務，如：收款、核帳、查帳等
3.負責轉接電話並為客人留言
4.協助主管交辦事項",新北市板橋區,無,日班、夜班、輪班三班制、中班,月薪,32000,40000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2348595&HIRE_ID=14050457,凱裕商旅股份有限公司中山分公司   ,20260108,板橋區,220
儲備幹部,全職,01,經營／行政／總務,010105,儲備幹部,5,20260920,"#13★◎
1.負責各式食材處理、菜餚烹調製作及品質控管。
2.嚴格執行廚房標準作業流程及衛生清潔管理。
3.於出菜時負責菜餚擺盤或調整份量之工作。",新北市板橋區,無,日班、中班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=121622&HIRE_ID=14534575,瓦城泰統股份有限公司,20260720,板橋區,220
國內旅遊 OP 專員,全職,16,旅遊／餐飲／休閒,160108,OP／旅行社人員,1,20260917,"#04★◎※※
工作內容如下: 
1.依工作規範執行訂團作業(訂交通工具、旅館、餐廳、保險等有關旅行事宜)  
2.與客戶聯繫及接洽相關合作內容。  
3.相關文書作業及文件整理(合約書..等)。  
4.掌控出團作業之正常操作，與業務人員密切配合。  
5.出團、結團作業處理事項。  
6.執行領團人員交團接班事宜。  
7.協助業務處理帳務事宜    
8.維護產品資訊檔案建立並列印業務報表單。 
9.主管交辦事項。  
需出差",新北市板橋區,無,日班,月薪,35000,-,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2519269&HIRE_ID=14532725,騰創國際旅行社有限公司,20260717,板橋區,220
【綜管八處】板橋區 豪宅145戶日班禮賓保全,全職,18,保全／軍警消,180101,保全人員,4,額滿為止,"1. 巡邏建築物與周遭環境，留意可疑線索，確保門窗安全。
2. 回應警報器並且了解，回報、處理引起警鈴的原因。
3. 由監視器畫面監看，以確保被保全之人與建築物的安全。
4. 維持住戶公共安全及設施，危機事件及緊急事故回報與處理。
5. 接應訪客，確實防疫措施並實聯制。
6. 收發文件，每日勤務紀錄簿確實簽到、記錄。
7. 熟稔禮賓接待服務。 具有豪宅服務經驗/飯店服務經驗佳。
8. 提供客戶全方位的大樓優良綜合管理服務。
9.交管勤務輪流推哨。

※面試時著正式服裝並攜帶 身分證、大頭照三張、個人戶籍謄本(簡式)兩份。
※每月薪資轉帳銀行帳戶（第一銀行 ）。",新北市板橋區,1年以上,日班,月薪,46000,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=33582&HIRE_ID=14610727,良福保全股份有限公司,20260819,板橋區,220
正職人員(新板店/板橋遠百店),全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,20260924,"#13★◎
工作視個人能力、興趣與店務需求輪調，採全崗位學習。
1.排班制/月休8天(須輪休)
2.外場服務：喜歡與人溝通互動，負責收桌/帶位/送餐/清潔維護/認識顧客
3.櫃檯接待：介紹餐點、點餐、促銷
4.吧檯調茶：調出世界級的美味茶飲
5.餐點製作、茶食製作
6.茶藝知識與泡茶學習

新板店：板橋區縣民大道二段66號1樓 
板橋遠百店：板橋區新站路28號3樓",新北市板橋區,無,日班、夜班,月薪,34000,39000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=68951&HIRE_ID=14546927,春水堂實業股份有限公司,20260724,板橋區,220
板橋店計時收銀員(長期假日),全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,2,20260831,"1.收銀結帳與商品裝袋	
2.顧客服務",新北市板橋區,1年以上,日班、夜班,時薪,196,-,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=401858&HIRE_ID=14610705,遠東都會股份有限公司,20260819,板橋區,220
【一条通(新埔門市)】內場正職,全職,16,旅遊／餐飲／休閒,160206,廚師助理,5,20261003,"#13★◎
1、各類餐點製作、出餐品質控管。
2、內場環境清潔，遵守環境衛生規範。
3、庫存管控。",新北市板橋區,無,日班、中班,月薪,33000,33000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2387965&HIRE_ID=14565809,誠邦食品股份有限公司,20260803,板橋區,220
外場服務人員【板橋大遠百店】,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,1,20261010,"1.熱情接待每一位客人
2.細緻介紹環境和菜單亮點
3.貼心上菜服務桌邊服務、主動收桌
4.迅速補充餐具、保持用餐環境整潔
5.親切結帳服務創造美好的用餐體驗
6.各種好喝的飲料調製。",新北市板橋區,無,輪班二班制,月薪,32000,35000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1201983&HIRE_ID=14588195,忕吉小吃股份有限公司,20260810,板橋區,220
★★★清潔員(台北遠東通訊),全職,16,旅遊／餐飲／休閒,160208,廚務清潔員,5,額滿為止,"◎#17
1.負責工作區域清潔工作
2.負責現場資源回收整理及垃圾處理
3.負責日常清潔保養工作
4.執行其它清潔相關交辦事項。",新北市板橋區,無,日班,月薪,29500,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2408359&HIRE_ID=14492781,慶展清潔有限公司,20260813,板橋區,220
社區清潔員 ,全職,19,清潔／家事／托育(保母),190104,環境清潔工,1,額滿為止,"社區環境清潔,整理回收垃圾並放上清運車",新北市板橋區,無,日班,月薪,29500,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2314459&HIRE_ID=14556821,冠駿潔境有限公司,20260729,板橋區,220
統一超商（杰朋門市）夜班正職門市人員,全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,1,20271130,於專櫃、賣場或店面門市內提供商品介紹及銷售服務。,新北市板橋區,無,夜班,月薪,33000,38000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2519203&HIRE_ID=14519729,孟餉商行,20260713,板橋區,220
家庭幫傭,全職,19,清潔／家事／托育(保母),190201,家事服務員/家庭清潔人員,1,20260827,在家庭，從事房舍清理、食物烹調、家庭成員起居照料或其他與家事服務有關工作,新北市板橋區,無,日班,月薪,34500,34500,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2699545&HIRE_ID=14608561,謝先生,20260819,板橋區,220
新光新板傑仕堡 房務員【55plus就業促進措施】,全職,16,旅遊／餐飲／休閒,160105,房務員,7,20261012,"#17★◎※※
1.房務各項備品之整理。
2.客房家具各項清潔與保養工作。
3.客房清潔整理及保養。
4.公共區域清潔。",新北市板橋區,無,日班,月薪,30700,30700,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2401141&HIRE_ID=14592717,傑仕堡商旅股份有限公司板橋分公司,20260812,板橋區,220
服務人員(大夜班),全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,1,20261012,"#21 ★◎※※
．準備每日供奉餐點、捧水 
．環境整潔及打掃 
．接待來暫宿的親人 
．協助家屬在會館得到充分的照顧 
．指導折紙
需配合公司班別輪調，若有特殊需求可另洽",新北市板橋區,無,日班,月薪,32000,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2696639&HIRE_ID=14591965,月陽會館股份有限公司,20260812,板橋區,220
行政助理,兼職,01,經營／行政／總務,010206,行政助理,1,額滿為止,"負責公司行政支援工作、文司處理、日常財務出納、發票處理等相關事務。
0930-1200、1300-1630、
一週三天、(原則上固定週二、週三、週四)",新北市板橋區,無,部份工時：09時30分至12時00分,時薪,200,250,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2696965&HIRE_ID=14591677,德思貝特驗證有限公司,20260811,板橋區,220
,全職,17,醫療／美容／保健,170113,照顧服務員,6,20260826,照顧患者.翻身.拍背.餵食，需備照顧服務員訓練時數證明，輪2班，日班8:00~20:00；夜班20:00~8:00，含休息2小時，月薪34314元以上，上述薪資為正常工時單週40小時工資，不包括加班費，超過正常工時8小時，加班費依勞基法規定。,新北市板橋區,無,日班、夜班、輪班二班制,月薪,34314,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2477311&HIRE_ID=14605589,新北市私立仁慈老人長期照顧中心(養護型),20260818,板橋區,220
資訊處理員,全職,01,經營／行政／總務,010206,行政助理,2,20260916,協助主管及專業人員處理一般行政業務工作。,新北市板橋區,無,日班,月薪,29500,31000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=548487&HIRE_ID=14556415,協合鉅業股份有限公司,20260729,板橋區,220
社區清潔員(漢生東路),全職,19,清潔／家事／托育(保母),190104,環境清潔工,1,20260913,社區環境清潔維護,新北市板橋區,無,日班,月薪,29500,32000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2444261&HIRE_ID=14517667,誠豐環保服務有限公司,20260713,板橋區,220
板橋店-家事服務員｜居家清潔人員｜薪資 $33，450元~$41，450元｜正職週休二日｜品質到位7＋1工時福利 16:30下班,全職,19,清潔／家事／托育(保母),190201,家事服務員/家庭清潔人員,10,20261231,"居家清潔、物品收納、衣物整理、辦公室清潔打掃人員，負責日常清潔保養工作。執行其它清潔相關交辦事項。 

正職保障：
品質到位每日 7＋1 小時（08:00~16:30 ＋1小時學習），準時下班！ 
週休二日，國定假日正常休息！
有提供、特休假、獎金、員工旅遊等多項福利。 
比作業員，餐廳服務員時間更固定（免輪班），可以照顧家庭。訓練時間含薪長達1個月！

服務範圍：集中於集中於泰山區、樹林區、新莊區、土城區、板橋區、五股區...等！

服務為定期訂閱制，無需陌生媒合。不必獨自面對客戶與物品損壞問題，專責陪跑員處理所有突發狀況！

安全問題：所有客戶皆經篩選，且有完整服務升遷機制。
不怕沒經驗，完整培訓計畫，提高技能，增加職涯發展機會。

需自備機車與駕照，公司提供專屬管家 APP 和 Google 地圖輔助導航，讓你輕鬆出勤！
確定錄取後提供健檢證明

經過考核滿一個月，滿一年調獎金。
如果你正在尋找一份照顧家庭、照顧小孩上下課的工作，且不影響生活品質的工作，這份職缺會是很好的選擇！
立即投遞履歷，與我們聯繫！

應徵連結 ➡ https://reurl.cc/r9kEnO
官方 Line 詢問 ➡ @mhhr",新北市板橋區,無,日班,月薪,33450,41450,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=987222&HIRE_ID=14047081,媽咪樂健康科技股份有限公司,20260818,板橋區,220
(9/16徵才)室內設計助理,全職,11,營建／製圖／施作,110104,室內設計師,2,20261025,"1.協助平面與施工圖繪製
2.圖面修改與整理
3.協助設計資料建檔
4.配合設計師完成圖面需求
5.製作設計提案簡報，呈現整體設計風格與概念
6.※肯配合出差至工地現場
7.薪資：月薪35,000元起(薪資最高可達42,000元)
---------------------------------------------------------------------------------
新北市就業博覽會-新北市政府六樓大禮堂
活動時間：9月16日 (三)【上午10點-下午3點】
活動地點：新北市政府【六樓大禮堂】(新北市板橋區中山路一段161號6樓)
交通方式：可搭乘捷運板南線「捷運板橋站2號出口」、「捷運板橋站3A出口」→由地下道前往市府
活動資訊：請複製右側網址→【https://taiwangov.com/1EW6w/TJ】
洽詢電話：02-2206-6196
---------------------------------------------------------------------------------",新北市板橋區,無,日班,月薪,35000,-,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=92040&HIRE_ID=14620673,大企室內裝修有限公司,20260825,板橋區,220
品管工程師,全職,09,品管／製造／環衛,090107,品管/品保工程師,2,20261003,"【職務亮點】
1.結合 ISO 體系 與 ERP 數位管理，打造優質品質流程。
2.從進料到成品，透過系統化工具確保品質穩定性。
3.參與專案測試與改善，用數據驅動流程升級。
【職務內容】
1.負責日常進料、製程與成品檢驗，維持品質穩定。
2.參與 ISO 品質系統內部稽核，協助追蹤流程落實狀況。
3.運用 ERP 系統 處理品質數據，確保資訊傳遞準確即時。
4.執行製程改善專案與各項品質測試任務。
5.協助客訴與異常原因分析，並追蹤改善成效。




",新北市板橋區,5年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=57988&HIRE_ID=14566527,雄獅鉛筆廠股份有限公司,20260803,板橋區,220
【綜管六處】板橋區 日班社區郵務安管員,全職,15,物流／運輸／資材,150107,倉儲物流人員,2,額滿為止,"1.社區包裹分件理貨、配送與核對
2.入庫點收
3.集貨與配送前檢核
4.定期盤點與異常追蹤回報",新北市板橋區,無,日班,月薪,47000,48500,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=33582&HIRE_ID=14610909,良福保全股份有限公司,20260819,板橋區,220
土城清潔員,全職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,2,20260928,"協助辦公室、社區等定期環境維護工作。

",新北市板橋區,無,日班,月薪,29500,30000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2332173&HIRE_ID=14619705,固德清潔維護有限公司,20260824,板橋區,220
上島珈琲店儲備幹部人員(誠品板橋店),全職,01,經營／行政／總務,010105,儲備幹部,3,20261013,"◎＃ 13
1.以甜美的笑容收銀結帳接待客人。
2.內場新鮮餐點製作以及備料準備，讓每位顧客吃得安心及開心。
3.吧檯調製上島珈琲店獨門飲品配方。
4.廠商接洽及進貨對帳對應。
5.餐廳其他營運事項管理。
備註:
1.無經驗可，具咖啡餐飲相關經驗者佳。
2.可配合輪店者佳
1.您的大名
2.應徵項目
3.日期
如：王小明 想要應徵 檢驗員 
",新北市板橋區,無,日班、中班,月薪,29500,33900,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=188260&HIRE_ID=14592145,優味企業股份有限公司,20260813,板橋區,220
台北店-設計師,全職,11,營建／製圖／施作,110104,室內設計師,5,20260921,"#20★◎
1.繪製CAD設計圖說須熟練
2.丈量工地現場
3.協助工程管理
4.協助設計業務
5.尋找風格意象製作簡報協助客戶諮詢
※須有高學習理解力、認真負責以及配合度高者,依能力分配職務級別

【★請先mail履歷至yuchu.hr@gmail.com，請勿電洽或親洽，無求職意願者勿洽★】",新北市板橋區,1年以上,日班,月薪,40000,45000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2419763&HIRE_ID=14540583,羽筑空間設計工程行,20260721,板橋區,220
,全職,10,技術／維修／操作,100390,其它機械操作員,17,20260827,"SMT機台操作,搬運(20公斤),焊接
日班月薪33494~35839元,夜班月薪40193~43006元",新北市板橋區,無,日班、夜班、輪班二班制,月薪,33494,43006,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=419117&HIRE_ID=14610413,環新科技有限公司,20260819,板橋區,220
(板橋、中和區)統一超商門市兼職夥伴,兼職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,15,20261016,"招募職位：兼職計時人員
工作內容：門市運作及店務執行，維持門市營運、進貨、補貨、清潔、收銀、顧客服務
工作時段：日班/夜班/大夜班/假日班，工時安排仍按工作現場需求",新北市板橋區,無,部份工時：時分至時分,時薪,196,236,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=66025&HIRE_ID=14607755,統一超商股份有限公司,20260818,板橋區,220
內外場正職服務人員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,額滿為止,"★◎※#13
1.外場：負責收桌、點餐、服務與清潔
2.內場：負責送餐、廚務整理
3.臨時交辦事項",新北市板橋區,無,日班、中班,月薪,29500,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2694031&HIRE_ID=14569633,雅亭小吃店,20260818,板橋區,220
上島珈琲店兼職早．晚班服務人員(誠品板橋店),全職,22,其他職類,220101,兼職人員,5,20261013,"◎＃ 13
日系咖啡餐飲連鎖店服務人員，包括：外場、廚房、吧台等工作站。
包括:外場.廚房.吧台等工作站顧客服務&商品製作
專業咖啡、餐點製作、咖啡廳產品介紹、顧客服務 
上班時數：
1. 彈性排班，可配合學生課後時段需求
2. 國定假日及例假日需能配合上班
每日排班8hr、符合勞基法
備註:
1.無經驗可，具咖啡餐飲相關經驗者佳。
2.可配合輪店者佳
1.您的大名
2.應徵項目
3.日期
如：王小明 想要應徵 檢驗員 
",新北市板橋區,無,日班,時薪,196,200,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=188260&HIRE_ID=14592149,優味企業股份有限公司,20260813,板橋區,220
服務人員(早班),全職,06,客服／門市,060102,客戶服務人員,3,額滿為止,"#21 ★◎※※
．準備每日供奉餐點、捧水 
．環境整潔及打掃 
．接待來暫宿的親人 
．協助家屬在會館得到充分的照顧 
．指導折紙
.需配合公司班別輪調",新北市板橋區,無,日班,月薪,29500,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2696639&HIRE_ID=14589473,月陽會館股份有限公司,20260811,板橋區,220
專案助理,全職,02,業務／貿易／銷售,020103,業務助理,3,20261014,"
1.教育訓練課程招生。
2.找尋銷售渠道及追蹤意向客戶。
3.時程控管，並負責追蹤招生專案執行狀況，隨時掌控進度。
4.負責客戶安排與接待，負責追蹤各項業務執行狀況，支援主管作業。
我們希望你具備：
良好的溝通能力和應變能力
有客服、銷售或相關經驗者優先
具備基本的電腦操作技能和線上工具使用能力

",新北市板橋區,1年以上,日班,月薪,32000,37000,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2489871&HIRE_ID=14598745,森維科技企業有限公司,20260814,板橋區,220
暫僱人員,全職,01,經營／行政／總務,010302,行政總務人員,1,20260828,"〔工作內容〕
辦理長期照顧服務相關業務
〔徵才條件〕
(一)資格應符合下列擇一：
1.領有社會工作師證書
2.符合專門職業及高等考試社會工作師考試規則第五條應考資格規定者，惟於105年12月31日以前在職之專業人員，或經考選部核定准予部分科目免試有案者不在此限
3.大學以上學校醫事或長期照顧相關系、所、學位學程、科畢業(應屆畢業生可)
4.大學以上學校畢業，且具有與擬任工作性質程度相當之工作經驗三年以上者
(二)無公務人員任用法第26條、第28條及臺灣地區與大陸地區人民關係條例第21條第1項不得任用之情事者
〔報名手續〕
1.意者請檢附(1)「新北市政府非編制人員甄選報名表」（請至本局資訊下載
https://www.sw.ntpc.gov.tw/index.jsp）、(2)身分證正反面影本（請註明-僅供身分查驗用）、(3)最高學歷證件影本、(4)成績證明影本及其他學經歷證明等（資料不齊視同資格不符；資料請使用長尾夾固定，勿裝訂）；信封上請註明「應徵新北市政府社會局老人福利科行政專員」，掛號郵寄至(22001)新北市板橋區中山路1段161號25樓新北市政府社會局老人福利科呂小姐收(聯絡電話：02-29603456分機3895)，掛號郵寄日以郵戳為憑，逾期恕不受理報名
2.報名至公告迄日止
3.報名人員凡經資格審查符合，將擇優通知專業實務測驗及面試，專業實務測驗佔總成績40%，面試佔總成績60%；應徵人員均不適當時，本局得從缺
4.未獲甄試或經甄試而未獲錄取者，恕不另行通知，甄試結果將公告本局網站。如需返還書面應徵資料，請於投件時併附足額回郵信封，不足額恕不寄還
5.候補期間自甄選結果之翌日起3個月內，以遞補本項職缺或等級相同、工作性質相當之職缺為限
〔備註〕
1.進用期間：自報到日起至115年12月31日止
2.薪資待遇：
(1)每月296報酬薪點(41，173元)核算。惟具有社工、醫學或長期照顧相關科系所碩士學歷，或領有社工、醫事人員師級證照者，以每月312報酬薪點核算
(2)12月份在職者年終獎金1.5個月，且依實際到職月數比例計支
(3)自年度1月1日起任滿1年者，次年度起得依年資及考績逐級調整，最高可至三九二俸點(54，527元)",新北市板橋區,無,日班,月薪,41173,41173,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=898506&HIRE_ID=14587625,新北市政府社會局,20260810,板橋區,220
工務行政人員,全職,01,經營／行政／總務,010206,行政助理,1,20261019,"1. 工程資料建檔與文件整理
2. 協助請款、發包及行政作業
3. 工程進度資料彙整
4. 整理材料、工具與工地環境
5. 公文修改及送件
6. 跨部門行政協調
7.其他主管交辦事項。
附加條件
1.熟悉Office文書作業、細心負責
2.可配合外派
",新北市板橋區,無,日班,月薪,33000,35000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=92040&HIRE_ID=14608933,大企室內裝修有限公司,20260819,板橋區,220
,全職,10,技術／維修／操作,100390,其它機械操作員,8,20260827,操作射出機、裁切機、需幫忙理貨及出貨、搬約15公斤物料,新北市板橋區,無,日班,月薪,31500,32130,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=61023&HIRE_ID=14609095,五貿塑膠工業股份有限公司,20260819,板橋區,220
客服工讀生,全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,5,20260927,"1. 接待會員、提供會員會籍諮詢服務
2. 商品販售、備品管理
3. 會員資料庫系統維護、管理
4. 門禁把關
5. 俱樂部環境巡檢",新北市板橋區,無,日班、輪班二班制、中班,時薪,196,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2277447&HIRE_ID=14552247,香港商世界健身事業有限公司板橋中山分公司,20260727,板橋區,220
活動促銷工讀生,全職,21,行銷／企劃／專案,210203,活動企劃人員,5,20260927,"1. WorldGym品牌推廣、活動宣傳
2. 各類活動攤位協助(例如路跑活動、運動展等等)",新北市板橋區,無,日班、輪班二班制、中班,時薪,196,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2277447&HIRE_ID=14552243,香港商世界健身事業有限公司板橋中山分公司,20260727,板橋區,220
板橋區環翠段停車場早班管理,全職,18,保全／軍警消,180105,停車場管理員,2,額滿為止,"1. 停車場收費 
2. 車輛指揮 
3. 日常文書處理
4. 巡視兼管外場
5. 場區環境維護及清潔 
6. 現場問題回報及排除 
7. 主管交代事項

※需自備機車",新北市板橋區,無,日班,月薪,35000,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=122422&HIRE_ID=14529161,俥亭停車事業股份有限公司,20260716,板橋區,220
