target_domain_evidence_rank,candidate_generation_rank,source_occupation_code,source_occupation_name,target_domain,target_occupation_code,target_occupation_name,target_occupation_description,candidate_generation_method,target_domain_primary_signal,target_domain_retrieval_score,target_domain_strong_hits,target_domain_technology_hits,target_domain_healthcare_hits,target_domain_concept_tags,candidate_generation_evidence,skill_similarity,transferable_skill_coverage,target_skill_gap,target_domain_technology_coverage,target_domain_technology_gap,transition_span,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,same_major_group,same_occupation_family,onet_related_support,taxonomy_distance_level,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations,market_validation,shared_top_skills,missing_skills,mobility_value_signal,feasibility_flag,feasibility_level,feasibility_notes,hidden_path_candidate
22,7,29-1141.00,Registered Nurses,Technology / AI,15-2099.01,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,87.4,bioinformatics; database; machine learning,algorithm; analysis; computer; data; database; information; programming; software; statistical; statistics; systems; technologies; technology; web,medical,health_data; software_application; ai_data; core_technology,"title: strong=bioinformatics; tech=; health= | description: strong=bioinformatics,database; tech=computer,data,database,information,technology; health=medical | tasks: strong=bioinformatics,machine learning,database; tech=analysis,algorithm,computer,data,database,information; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health= | software: strong=database; tech=analysis,data,database,information,software,statistics; health=",0.962227,0.883155,0.460463,0.771679,0.82,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,46.66,6.0,medium,weighted education category +2.0,low,related work experience +1.2 categories,low,,no,no,no,Distant category,統計精算人員; 系統分析師; 行銷企劃人員; 軟(韌)體設計工程師; 市場調查/市調分析; 專櫃／門市（人員／儲備幹部）,約聘研究員; 企劃暨精算部-辦事員; 校務研究辦公室 誠徵資料分析專員(碩士級); AI行銷專員; AI系統設計師（AI System Designer）; 市場研究分析員; 婚鞋顧問｜平均薪資40K｜預約制高成交｜完整培訓; (9/16徵才)【總公司】行銷企劃資深高專,deterministic_keyword_field_weight_v1,0.846,Medium,yes,12,19,32455,47500,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:4; 專科:4; 碩士:2; 不拘:1; 高中:1,無:11; 1年以上:1,台北市大安區:3; 台北市中山區:2; 台北市松山區:2; 台北市中正區:1; 台北市大同區:1; 台北市內湖區:1; 台北市北投區:1; 台北市不限:1,Moderate,English Language (knowledge: 3.99); Reading Comprehension (essential_skill: 3.75); Writing (essential_skill: 3.50); Active Listening (essential_skill: 3.50); Critical Thinking (essential_skill: 3.50); Active Learning (essential_skill: 3.50); Complex Problem Solving (transferable_skill: 3.50); Judgment and Decision Making (transferable_skill: 3.50),"Computers and Electronics (knowledge: target 4.77, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
23,9,29-1141.00,Registered Nurses,Technology / AI,15-1211.01,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,87.1,electronic medical; health informatics; health information; information systems,analysis; computer; data; information; security; software; statistics; support; systems; technologies; technology; web,clinical; health; healthcare; medical; medicine; nursing; patient,clinical_health_informatics; health_data; software_application; core_technology,"title: strong=health informatics; tech=; health=health | description: strong=; tech=computer,systems; health=health,nursing | tasks: strong=health informatics,health information,information systems; tech=computer,data,information,security,software,systems; health=clinical,health,nursing,patient | skill_knowledge: strong=; tech=analysis,computer,systems,technology; health=medicine | software: strong=electronic medical,information systems; tech=analysis,computer,data,information,software,statistics; health=clinical,health,healthcare,medical",0.978606,0.910283,0.315,0.722658,0.96,Partial skill reuse,no,,,4,5,1,Bachelor's Degree,Master's Degree,61.9,4.76,high,weighted education category +2.2; master's-or-higher share 61.9%,low,related work experience +1.2 categories,low,3.14,no,no,no,Distant category,診所助理; 系統分析師; 其他醫院從業人員; 資訊助理員; 軟(韌)體設計工程師; 行政助理,醫療助理; 校務研究辦公室 誠徵資料分析專員(碩士級); 醫院傳送人員(內湖三總); 醫院病房衛材管理人員(內湖三總); 資訊系統人員; (9/16徵才)醫院 早班/小夜班傳送員; AI系統設計師（AI System Designer）; 醫美櫃台行政人員,deterministic_keyword_field_weight_v1,0.606,Medium,yes,10,24,33725,38280,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:5; 不拘:3; 碩士:1; 高中:1,無:8; 3年以上:1; 2年以上:1,台北市大安區:4; 台北市內湖區:4; 台北市中山區:1; 台北市松山區:1,Moderate,English Language (knowledge: 4.05); Critical Thinking (essential_skill: 4.00); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Reading Comprehension (essential_skill: 3.88); Writing (essential_skill: 3.75); Medicine and Dentistry (knowledge: 3.70),,possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
24,21,29-1141.00,Registered Nurses,Technology / AI,15-1243.01,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,64.0,database,analysis; computer; data; database; information; network; product; programming; software; support; systems; technologies; web,,software_application; technology_support; core_technology,"title: strong=; tech=data; health= | description: strong=database; tech=data,database,information,support; health= | tasks: strong=database; tech=analysis,computer,data,database,programming,software; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health= | software: strong=database; tech=analysis,data,database,information,network,programming; health=",0.945155,0.872838,0.433571,0.732834,0.917143,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,4.35,0.0,low,no major upward education signal,medium,related work experience +2.4 categories,low,1.74,no,no,no,Distant category,照顧服務員; 居家服務督導員; 餐飲服務及接待員; 客戶服務人員; 櫃檯服務人員; 家事服務員/家庭清潔人員,家庭照顧服務員; 居家服務員; 居家服務照顧服務人員; 照顧服務員(中興院區吸呼照護病房); 照顧服務員; 居家照顧服務員(內湖、松山、南港); (9/10景美站小徵)照顧服務員; 瑞光小規機-照顧服務員,deterministic_keyword_field_weight_v1,0.72,Medium,yes,206,1241,32000,35000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:142; 高中:21; 專科:13; 高職:11; 國中:8; 國小:6; 大學:5,無:195; 1年以上:6; 2年以上:3; 3年以上:1; 1年內:1,台北市大安區:27; 台北市不限:27; 台北市中山區:23; 台北市松山區:21; 台北市北投區:20; 台北市大同區:17; 台北市士林區:15; 台北市內湖區:14,Moderate,Reading Comprehension (essential_skill: 3.88); Critical Thinking (essential_skill: 3.88); Complex Problem Solving (transferable_skill: 3.50); Active Listening (essential_skill: 3.50); Speaking (essential_skill: 3.38); Judgment and Decision Making (transferable_skill: 3.38); Writing (essential_skill: 3.25); Mathematics (knowledge: 3.23),"Programming (transferable_skill: target 3.75, RN 1.62)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
25,22,29-1141.00,Registered Nurses,Technology / AI,15-1299.06,Digital Forensics Analysts,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,63.0,information systems,analysis; computer; data; digital; information; network; security; software; support; systems; technology; web,,software_application; technology_support; core_technology,"title: strong=; tech=digital; health= | description: strong=; tech=computer,digital,information,network,security,support; health= | tasks: strong=; tech=analysis,computer,data,digital,information,network; health= | skill_knowledge: strong=; tech=analysis,computer,systems,technology; health= | software: strong=information systems; tech=computer,data,information,network,security,software; health=",0.958829,0.886349,0.434167,0.719886,0.9825,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,low,no major upward training/experience signal,low,3.59,no,no,no,Distant category,照顧服務員; 居家服務督導員; 餐飲服務及接待員; 客戶服務人員; 櫃檯服務人員; 家事服務員/家庭清潔人員,家庭照顧服務員; 居家服務員; 居家服務照顧服務人員; 照顧服務員(中興院區吸呼照護病房); 照顧服務員; 居家照顧服務員(內湖、松山、南港); (9/10景美站小徵)照顧服務員; 瑞光小規機-照顧服務員,deterministic_keyword_field_weight_v1,0.72,Medium,yes,206,1241,32000,35000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:142; 高中:21; 專科:13; 高職:11; 國中:8; 國小:6; 大學:5,無:195; 1年以上:6; 2年以上:3; 3年以上:1; 1年內:1,台北市大安區:27; 台北市不限:27; 台北市中山區:23; 台北市松山區:21; 台北市北投區:20; 台北市大同區:17; 台北市士林區:15; 台北市內湖區:14,Moderate,Reading Comprehension (essential_skill: 3.75); English Language (knowledge: 3.70); Writing (essential_skill: 3.50); Judgment and Decision Making (transferable_skill: 3.50); Speaking (essential_skill: 3.50); Active Listening (essential_skill: 3.50); Complex Problem Solving (transferable_skill: 3.38); Active Learning (essential_skill: 3.38),"Computers and Electronics (knowledge: target 4.68, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
26,27,29-1141.00,Registered Nurses,Technology / AI,15-2041.01,Biostatisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,57.5,biostatistics; clinical data; database,algorithm; analysis; computer; data; database; programming; software; statistical; statistics; systems; web,clinical; health; medical; medicine; patient; records,health_data; software_application; ai_data; core_technology,"description: strong=; tech=statistical; health= | tasks: strong=clinical data,biostatistics,database; tech=analysis,algorithm,data,database,software,statistical; health=clinical,health,medical,records | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health=medicine | software: strong=database; tech=data,database,software,statistical,statistics,systems; health=clinical,medical,patient",0.965804,0.876031,0.454574,0.722729,1.02625,Partial skill reuse,no,,,4,5,1,Bachelor's Degree,Master's Degree,87.5,29.17,high,weighted education category +3.5; master's-or-higher share 87.5%,low,no major upward training/experience signal,low,2.25,no,no,no,Distant category,統計精算人員; 系統分析師; 行銷企劃人員; 軟(韌)體設計工程師; 市場調查/市調分析; 專櫃／門市（人員／儲備幹部）,約聘研究員; 企劃暨精算部-辦事員; 校務研究辦公室 誠徵資料分析專員(碩士級); AI行銷專員; AI系統設計師（AI System Designer）; 市場研究分析員; 婚鞋顧問｜平均薪資40K｜預約制高成交｜完整培訓; (9/16徵才)【總公司】行銷企劃資深高專,deterministic_keyword_field_weight_v1,0.846,Medium,yes,12,19,32455,47500,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:4; 專科:4; 碩士:2; 不拘:1; 高中:1,無:11; 1年以上:1,台北市大安區:3; 台北市中山區:2; 台北市松山區:2; 台北市中正區:1; 台北市大同區:1; 台北市內湖區:1; 台北市北投區:1; 台北市不限:1,Moderate,Critical Thinking (essential_skill: 4.00); Speaking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.88); Active Listening (essential_skill: 3.88); English Language (knowledge: 3.88); Writing (essential_skill: 3.75); Active Learning (essential_skill: 3.50),,possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
27,30,29-1141.00,Registered Nurses,Technology / AI,49-9062.00,Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,52.6,medical equipment,analysis; computer; software; systems; technology; web,biomedical; device; hospital; medical; patient; records,software_application; medical_device_technology,"title: strong=medical equipment; tech=; health=medical | description: strong=medical equipment; tech=; health=biomedical,medical | tasks: strong=medical equipment; tech=analysis,systems; health=device,hospital,medical,patient,records | skill_knowledge: strong=; tech=analysis,computer,systems,technology; health= | software: strong=medical equipment; tech=computer,software,web; health=medical",0.933697,0.807789,0.677778,0.64541,1.247143,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,Associate's Degree or other 2-year degree,0.0,0.0,low,no major upward education signal,low,no major upward training/experience signal,low,2.13,no,no,no,Distant category,其他產品維修人員; 電機技術人員; FAE工程師; 空調冷凍技術人員; 機構工程師; 電子工程師,連鎖超商餐飲設備維修工程師(無經驗可) (台北總公司); 電機技術人員; 技術維修工程師; 商用餐飲設備專案工程師 (台北總公司); 【台北大同】維護人員; 技術支援工程師; 技術支援工程師 Supporting Engineer(五五就業促進); 空調機電維護工程師,deterministic_keyword_field_weight_v1,0.854,Medium,yes,61,133,35000,45000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:17; 高中:16; 大學:12; 高職:9; 不拘:6; 國中:1,無:42; 1年以上:9; 2年以上:6; 5年以上:2; 4年以上:1; 3年以上:1,台北市內湖區:16; 台北市信義區:7; 台北市大安區:7; 台北市中山區:6; 台北市不限:6; 台北市大同區:4; 台北市松山區:4; 台北市南港區:4,Moderate,Customer and Personal Service (knowledge: 3.87); English Language (knowledge: 3.58); Critical Thinking (essential_skill: 3.12); Reading Comprehension (essential_skill: 3.12); Mathematics (knowledge: 3.03); Active Listening (essential_skill: 3.00); Systems Analysis (transferable_skill: 3.00); Active Learning (essential_skill: 3.00),"Repairing (transferable_skill: target 4.25, RN 1.12); Equipment Maintenance (transferable_skill: target 4.00, RN 1.00); Mechanical (knowledge: target 4.17, RN 1.35); Troubleshooting (transferable_skill: target 3.88, RN 1.88)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
28,31,29-1141.00,Registered Nurses,Technology / AI,31-9093.00,Medical Equipment Preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,47.7,database; medical equipment,analysis; data; database; product; security; software; systems,clinical; health; healthcare; hospital; medical; patient; records,software_application; medical_device_technology,"title: strong=medical equipment; tech=; health=medical | description: strong=; tech=; health=health,healthcare | tasks: strong=medical equipment; tech=systems; health=hospital,medical,patient,records | skill_knowledge: strong=; tech=analysis,security,product; health= | software: strong=database; tech=data,database,software; health=clinical,medical",0.964278,0.926522,0.248556,0.732308,0.87,Partial skill reuse,no,,,4,2,-2,Bachelor's Degree,High School Diploma or the equivalent (such as a GED),1.78,0.0,low,no major upward education signal,low,no major upward training/experience signal,low,,no,no,no,Cross-category,其他產品維修人員; 電機技術人員; FAE工程師; 空調冷凍技術人員; 機構工程師; 電子工程師,連鎖超商餐飲設備維修工程師(無經驗可) (台北總公司); 電機技術人員; 技術維修工程師; 商用餐飲設備專案工程師 (台北總公司); 【台北大同】維護人員; 技術支援工程師; 技術支援工程師 Supporting Engineer(五五就業促進); 空調機電維護工程師,deterministic_keyword_field_weight_v1,0.854,Medium,yes,61,133,35000,45000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:17; 高中:16; 大學:12; 高職:9; 不拘:6; 國中:1,無:42; 1年以上:9; 2年以上:6; 5年以上:2; 4年以上:1; 3年以上:1,台北市內湖區:16; 台北市信義區:7; 台北市大安區:7; 台北市中山區:6; 台北市不限:6; 台北市大同區:4; 台北市松山區:4; 台北市南港區:4,Moderate,Customer and Personal Service (knowledge: 4.40); English Language (knowledge: 3.87); Critical Thinking (essential_skill: 3.50); Monitoring (essential_skill: 3.38); Active Listening (essential_skill: 3.25); Reading Comprehension (essential_skill: 3.12); Speaking (essential_skill: 3.12); Public Safety and Security (knowledge: 3.11),,possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -2,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
29,32,29-1141.00,Registered Nurses,Technology / AI,17-2112.01,Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",deterministic_onet_target_domain_keyword_retrieval_v1,technical_science_engineering,47.4,technical support,analysis; computer; data; information; network; product; software; statistical; statistics; support; systems; technology; web,health; records,health_data; software_application; technology_support,"description: strong=; tech=data,technology; health= | tasks: strong=technical support; tech=analysis,computer,data,information,network,statistical; health=health,records | skill_knowledge: strong=; tech=analysis,computer,systems,technology,product; health= | software: strong=; tech=computer,data,information,software,statistics,technology; health=",0.972624,0.887308,0.391242,0.715414,0.973,Partial skill reuse,no,,,4,5,1,Bachelor's Degree,Master's Degree,50.0,0.0,medium,weighted education category +2.0; master's-or-higher share 50.0%,low,no major upward training/experience signal,low,3.4,no,no,no,Distant category,照顧服務員; 居家服務督導員; 餐飲服務及接待員; 客戶服務人員; 櫃檯服務人員; 家事服務員/家庭清潔人員,家庭照顧服務員; 居家服務員; 居家服務照顧服務人員; 照顧服務員(中興院區吸呼照護病房); 照顧服務員; 居家照顧服務員(內湖、松山、南港); (9/10景美站小徵)照顧服務員; 瑞光小規機-照顧服務員,deterministic_keyword_field_weight_v1,0.72,Medium,yes,206,1241,32000,35000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:142; 高中:21; 專科:13; 高職:11; 國中:8; 國小:6; 大學:5,無:195; 1年以上:6; 2年以上:3; 3年以上:1; 1年內:1,台北市大安區:27; 台北市不限:27; 台北市中山區:23; 台北市松山區:21; 台北市北投區:20; 台北市大同區:17; 台北市士林區:15; 台北市內湖區:14,Moderate,Psychology (knowledge: 4.16); English Language (knowledge: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Speaking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Writing (essential_skill: 3.75); Judgment and Decision Making (transferable_skill: 3.62),"Design (knowledge: target 3.85, RN 1.29); Engineering and Technology (knowledge: target 3.80, RN 1.51)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
30,34,29-1141.00,Registered Nurses,Technology / AI,31-9091.00,Dental Assistants,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,46.6,medical records,computer; information; product; software; systems; web,clinical; health; healthcare; medical; medicine; patient; records,clinical_health_informatics; software_application,"description: strong=medical records; tech=information; health=clinical,health,healthcare,medical,patient,records | tasks: strong=; tech=computer,information; health=medical,patient,records | skill_knowledge: strong=; tech=computer,product; health=medicine | software: strong=; tech=software,systems,web; health=medical",0.98191,0.955207,0.164167,0.78012,0.73,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,Post-Secondary Certificate,0.0,0.0,low,no major upward education signal,low,no major upward training/experience signal,low,3.29,no,no,no,Cross-category,照顧服務員; 居家服務督導員; 餐飲服務及接待員; 客戶服務人員; 櫃檯服務人員; 家事服務員/家庭清潔人員,家庭照顧服務員; 居家服務員; 居家服務照顧服務人員; 照顧服務員(中興院區吸呼照護病房); 照顧服務員; 居家照顧服務員(內湖、松山、南港); (9/10景美站小徵)照顧服務員; 瑞光小規機-照顧服務員,deterministic_keyword_field_weight_v1,0.72,Medium,yes,206,1241,32000,35000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:142; 高中:21; 專科:13; 高職:11; 國中:8; 國小:6; 大學:5,無:195; 1年以上:6; 2年以上:3; 3年以上:1; 1年內:1,台北市大安區:27; 台北市不限:27; 台北市中山區:23; 台北市松山區:21; 台北市北投區:20; 台北市大同區:17; 台北市士林區:15; 台北市內湖區:14,Moderate,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); Active Listening (essential_skill: 3.88); English Language (knowledge: 3.76); Administrative (knowledge: 3.45); Speaking (essential_skill: 3.38); Administration and Management (knowledge: 3.29); Reading Comprehension (essential_skill: 3.25),,possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
31,37,29-1141.00,Registered Nurses,Technology / AI,17-3024.01,Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems.",deterministic_onet_target_domain_keyword_retrieval_v1,technical_science_engineering,42.4,artificial intelligence; database,analysis; computer; data; database; product; programming; software; systems; technology; web,device; records,software_application; ai_data,"description: strong=; tech=systems,product; health= | tasks: strong=artificial intelligence; tech=analysis,computer,programming,software,systems,product; health=device,records | skill_knowledge: strong=; tech=analysis,computer,systems,technology,product; health= | software: strong=database; tech=computer,data,database,software,systems,web; health=",0.920041,0.756391,0.874444,0.642564,1.305,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,Associate's Degree or other 2-year degree,0.0,0.0,low,no major upward education signal,medium,related work experience +1.7 categories,low,2.86,no,no,no,Distant category,照顧服務員; 居家服務督導員; 餐飲服務及接待員; 客戶服務人員; 櫃檯服務人員; 家事服務員/家庭清潔人員,家庭照顧服務員; 居家服務員; 居家服務照顧服務人員; 照顧服務員(中興院區吸呼照護病房); 照顧服務員; 居家照顧服務員(內湖、松山、南港); (9/10景美站小徵)照顧服務員; 瑞光小規機-照顧服務員,deterministic_keyword_field_weight_v1,0.72,Medium,yes,206,1241,32000,35000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:142; 高中:21; 專科:13; 高職:11; 國中:8; 國小:6; 大學:5,無:195; 1年以上:6; 2年以上:3; 3年以上:1; 1年內:1,台北市大安區:27; 台北市不限:27; 台北市中山區:23; 台北市松山區:21; 台北市北投區:20; 台北市大同區:17; 台北市士林區:15; 台北市內湖區:14,Moderate,Reading Comprehension (essential_skill: 3.88); Critical Thinking (essential_skill: 3.88); Active Listening (essential_skill: 3.75); Complex Problem Solving (transferable_skill: 3.50); English Language (knowledge: 3.50); Mathematics (knowledge: 3.43); Speaking (essential_skill: 3.25); Writing (essential_skill: 3.25),"Repairing (transferable_skill: target 4.00, RN 1.12); Equipment Maintenance (transferable_skill: target 3.88, RN 1.00); Engineering and Technology (knowledge: target 4.36, RN 1.51); Mechanical (knowledge: target 3.73, RN 1.35); Design (knowledge: target 3.55, RN 1.29)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
32,24,29-1141.00,Registered Nurses,Technology / AI,15-1232.00,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,60.7,computer systems; user support,analysis; computer; data; product; programming; software; support; systems; technology; web,records,software_application; technology_support; core_technology,"title: strong=user support; tech=computer,support; health= | description: strong=; tech=computer,software,systems; health= | tasks: strong=computer systems; tech=analysis,computer,data,software,systems,product; health=records | skill_knowledge: strong=; tech=analysis,computer,systems,technology; health= | software: strong=; tech=computer,data,programming,software,web; health=",0.943935,0.887289,0.410926,0.580735,1.501667,Major reskilling,no,,,4,3,-1,Bachelor's Degree,Bachelor's Degree,4.37,4.05,low,no major upward education signal,low,related work experience +1.0 categories,low,2.47,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Customer and Personal Service (knowledge: 4.12); Active Listening (essential_skill: 4.00); Speaking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); English Language (knowledge: 3.79); Critical Thinking (essential_skill: 3.75); Complex Problem Solving (transferable_skill: 3.50); Writing (essential_skill: 3.50),"Computers and Electronics (knowledge: target 4.93, RN 2.59); Mechanical (knowledge: target 3.66, RN 1.35); Engineering and Technology (knowledge: target 3.62, RN 1.51)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
